NV-0001,Cu Cu,13,Nu,123456789,0123456789,Ng@gmai.com,DH,oo,99.5
NV-0002,Th,13,Nu,123456789,0123456789,Ng@gmai.com,DH,oo,99.51
NV-0003,Vi T,12,,123456789,0956321654,ffe,12,c,11.0
NV-8888,Nguyen My,12/11/1999,girl,123456789,0123456789,gaga@gmail.com,12,v,12.0
NV-7777,Nguyen A,12/12/1999,boy,123456789,0123456789,kk@gmail.com,12,vv,12.0
NV-2222,Moi Sua,12/12/1999,boy,123456789,0123456789,g@gmail.com,12,mm,12.0
NV-3333,Le Tai,12/12/1992,boy,123456789,0123456789,ga@gmail.com,bn,qw,11.0
NV-9876,Ka Kw,10/12/1999,boy,123456789,0123456789,d@gmail.com,12,n,1.0
NV-0810,He He,12/12/1998,boy,123456789,0123456789,g@gmail.com,12,gg,11.0
NV-1113,Ha M,12/12/1999,boy,123456789,0123456789,da@gmail.com,12,dw,11.0
NV-9090,Hi He,12/02/1999,boy,123456789,0123456789,g@gmail.com,dsf,g,1.0
NV-4321,Hic Gic,12/12/1999,boy,123456789,0123456789,g@gmail.com,dw,12,12.0
NV-6789,Sta V,12/12/1999,boy,123456789,0123456789,Nguye@gmail.com,12,ssf,12.0
NV-0000,Nguyen K,12/12/1999,boy,123456789,0123456789,g@gmail.com,12,Vk,11.0
NV-1212,Ko Ko,12/12/1999,boy,123456789,0123456789,g@gmail.com,12,kk,11.0
NV-1010,Ok Ok,12/12/1111,boy,123456789,0123456789,f@gmail.com,r,g,1.0
NV-2323,O A,12/12/1999,boy,123456789,0123456789,g@gmail.com,c,g,12.0
NV-1212,N V,12/12/1111,boy,123465789,0123456789,f@gmail.com,Sau dai hoc,Le tan,55.0
NV-0001,Anh Phan,12/12/1999,ofther,321654987,0123456789,f@gmail.com,Cao dang,Giam sat,12.0
NV-0999,E O,12/12/1999,boy,123456789,0123456789,g@gmail.com,Cao dang,Le tan,15.0
NV-0012,Nguyen A,12/12/1999,boy,123456789,0123456789,g@gmail.com,Cao dang,Le tan,10.0
NV-9191,Ng K,12/12/1233,boy,123456789,0123456789,f@gmail.com,Cao dang,Giam doc,10.0
NV-1114,K A,12/12/1998,girl,123465789,0112365478,r@gmail.com,Dai hoc,Giam sat,111.0
NV-3232,Anh P,12/12/1111,boy,123456789,0123456789,t@gmail.com,Cao dang,Giam sat,12.0
